,Unnamed: 0,noun,comments,rated_indiv,date_post,reviewer,number_of_reveiws,loc_reviewer,restaurant_name,review_translated,review_full,tokenized_text,adjectives,value,Sentiment_adj1_pos,Sentiment_adj1_neutral,Sentiment_adj1_neg,Bigram,Sentiment_bigram_pos,Sentiment_bigram_neutral,Sentiment_bigram_neg,Sentiment_text_pos,Sentiment_text_neutral,Sentiment_text_neg,noun_grouped
87547,87547,food,"I’ve been to a lot of restaurants in Armenia but this one takes the cake! Love the service, the atmosphere and the food is DELICIOUS. Been here for a month and have already been to this restaurant 3 times. Will definitely recommend to everyone!",50,"October 17, 2018",['Tamara S'],['1 review'],[],Lavash,"I’ve been to a lot of restaurants in Armenia but this one takes the cake! Love the service, the atmosphere and the food is DELICIOUS. Been here for a month and have already been to this restaurant 3 times. Will definitely recommend to everyone!","i’ve been to a lot of restaurants in armenia but this one takes the cake! love the service, the atmosphere and the food is delicious. been here for a month and have already been to this restaurant 3 times. will definitely recommend to everyone!","love the service, the atmosphere and the food is delicious.",adjective_2,,0.0,1.0,0.0,NA food,0.0,1.0,0.0,0.497,0.503,0.0,food
146108,146108,food,"Lavash Restaurant is wonderful! Delicious food, Excellent service, very interesting, rich and many tasty options on the menu. We tried the Ghapama and eggplant tarragon salad... All very delicious. Of course keep room for their signature desserts all amazing.",50,"December 16, 2019",['Kalayjian'],"['4', '9']","['Yerevan, Armenia']",Lavash,"Lavash Restaurant is wonderful! Delicious food, Excellent service, very interesting, rich and many tasty options on the menu. We tried the Ghapama and eggplant tarragon salad... All very delicious. Of course keep room for their signature desserts all amazing.","lavash restaurant is wonderful! delicious food, excellent service, very interesting, rich and many tasty options on the menu. we tried the ghapama and eggplant tarragon salad... all very delicious. of course keep room for their signature desserts all amazing.","delicious food, excellent service, very interesting, rich and many tasty options on the menu.",adjective_3,,0.0,1.0,0.0,NA food,0.0,1.0,0.0,0.588,0.412,0.0,food
98912,98912,bread,"We visited on a Sunday night and had an excellent evening. The cured Armenian fish served with warm bread was a delicious start. Followed by barbecued cheese and succulent barbecued lamb served with a tangy herb salad. My mouth is still watering. A delicious and well priced bottle of Armenian wine and one of local sparking water washed it down wonderfully. Excellent food, wine and service and very reasonably priced. I can't recommend Lavash highly enough.",50,"August 13, 2017",['373cliveh'],"['16', '9']","['Saltburn-by-the-Sea, United Kingdom']",Lavash,"We visited on a Sunday night and had an excellent evening. The cured Armenian fish served with warm bread was a delicious start. Followed by barbecued cheese and succulent barbecued lamb served with a tangy herb salad. My mouth is still watering. A delicious and well priced bottle of Armenian wine and one of local sparking water washed it down wonderfully. Excellent food, wine and service and very reasonably priced. I can't recommend Lavash highly enough.","we visited on a sunday night and had an excellent evening. the cured armenian fish served with warm bread was a delicious start. followed by barbecued cheese and succulent barbecued lamb served with a tangy herb salad. my mouth is still watering. a delicious and well priced bottle of armenian wine and one of local sparking water washed it down wonderfully. excellent food, wine and service and very reasonably priced. i can't recommend lavash highly enough.",the cured armenian fish served with warm bread was a delicious start.,adjective_2,,0.0,1.0,0.0,NA bread,0.0,1.0,0.0,0.384,0.616,0.0,bread
131360,131360,pasta,"Zwar sind Lage und Atmosphäre wunderbar, aber kulinarisch kann 'Limonade' leider nicht überzeugen. Die Minestrone ist dünn, das Gemüse nicht vollständig durch, die Meeresfrüchte-Pasta hätte auch geschmackvoller sein können.",20,"May 23, 2018",['voyagerpourdecoder'],"['78', '56']","['Vaduz, Liechtenstein']",Limone Cascade,"Although the location and atmosphere are wonderful, 'Lemonade' unfortunately cannot convince in terms of culinary delights. The minestrone is thin, the veggies aren't fully cooked, and the seafood pasta could have been tastier.","although the location and atmosphere are wonderful, 'lemonade' unfortunately cannot convince in terms of culinary delights. the minestrone is thin, the veggies aren't fully cooked, and the seafood pasta could have been tastier.","the minestrone is thin, the veggies aren't fully cooked, and the seafood pasta could have been tastier.",adjective_2,,0.0,1.0,0.0,NA pasta,0.0,1.0,0.0,0.0,1.0,0.0,pasta
98688,98688,visitor,"Если традиции, отличный сервис и обслуживание на высоком уровне, если армянский колорит с традиционными разновидностями блюд, если приятная атмосфера и незабываемые моменты, если желание вернутся снова и только хорошие воспоминания – то определенно ресторан ""Лаваш"". Изысканная кухня с армянскими традициями ресторана ""Лаваш"" привлекает каждого посетителя. За короткое время ресторан ""Лаваш"" стал неотъемлемой частичкой Ереванского уютного колорита. ""Лаваш"" выбирают гурманы, которые ценят качество и изысканность силы вкуса.",50,"August 22, 2017",['Hasmik G'],['3'],"['Yerevan, Armenia']",Lavash,"If traditions, excellent service and high-level service, if Armenian flavor with traditional varieties of dishes, if a pleasant atmosphere and unforgettable moments, if the desire to return again and only good memories, then definitely Lavash restaurant. Exquisite cuisine with Armenian traditions of the ""Lavash"" restaurant attracts every visitor. In a short time, the ""Lavash"" restaurant has become an integral part of the cozy atmosphere of Yerevan. ""Lavash"" is chosen by gourmets who appreciate the quality and sophistication of the power of taste.","if traditions, excellent service and high-level service, if armenian flavor with traditional varieties of dishes, if a pleasant atmosphere and unforgettable moments, if the desire to return again and only good memories, then definitely lavash restaurant. exquisite cuisine with armenian traditions of the ""lavash"" restaurant attracts every visitor. in a short time, the ""lavash"" restaurant has become an integral part of the cozy atmosphere of yerevan. ""lavash"" is chosen by gourmets who appreciate the quality and sophistication of the power of taste.","exquisite cuisine with armenian traditions of the ""lavash"" restaurant attracts every visitor.",adjective_2,,0.0,1.0,0.0,NA visitor,0.0,1.0,0.0,0.197,0.803,0.0,visitor
139059,139059,travel,"If you want to eat traditionnal and excellent armenian food, you can start your travel here
Thank you",50,"June 16, 2022",['jeangM7557IU'],['2 reviews'],[],Lavash,"If you want to eat traditionnal and excellent armenian food, you can start your travel here
Thank you","if you want to eat traditionnal and excellent armenian food, you can start your travel here thank you","if you want to eat traditionnal and excellent armenian food, you can start your travel here thank you",adjective_3,,0.0,1.0,0.0,NA travel,0.0,1.0,0.0,0.333,0.667,0.0,travel
72078,72078,dinner,"Мы с компанией друзей пришли поужинать в Лаваш, нас обслуживал Самвел. Самвел оказал нам сервис высшего уровня, мы не встречали такого ни в России, ни в Европе! Обязательно придём снова!",50,"March 8, 2022",['V5818YWanns'],['1'],[],Lavash,"A group of friends and I came to have dinner at Lavash, we were served by Samvel. Samvel provided us with the highest level of service, we have not seen this either in Russia or in Europe! We will definitely come again!","a group of friends and i came to have dinner at lavash, we were served by samvel. samvel provided us with the highest level of service, we have not seen this either in russia or in europe! we will definitely come again!","a group of friends and i came to have dinner at lavash, we were served by samvel.",adjective_2,,0.0,1.0,0.0,NA dinner,0.0,1.0,0.0,0.181,0.819,0.0,dinner
154366,154366,service,a very super delicious food very very good staff very good Service. everything was great.everything was  very   good.we will always be happy to come here for dinner.special thanks Keller management and cook,50,"December 24, 2018",['alaverdyan1'],['2 reviews'],[],Lavash,a very super delicious food very very good staff very good Service. everything was great.everything was  very   good.we will always be happy to come here for dinner.special thanks Keller management and cook,a very super delicious food very very good staff very good service. everything was great.everything was very good.we will always be happy to come here for dinner.special thanks keller management and cook,a very super delicious food very very good staff very good service.,adjective_3,,0.0,1.0,0.0,NA service,0.0,1.0,0.0,0.683,0.317,0.0,staff
104412,104412,thanks,"Очень вкусное, атмосферное место, быстрая подача блюд) Отдельное спасибо официанту Аарону за душевное обслуживание ",50,"July 16, 2022",['Иван Б'],['2'],[],Tumanyan Khinkali,"Very tasty, atmospheric place, fast serving of dishes) Special thanks to the waiter Aaron for the sincere service","very tasty, atmospheric place, fast serving of dishes) special thanks to the waiter aaron for the sincere service","very tasty, atmospheric place, fast serving of dishes) special thanks to the waiter aaron for the sincere service",adjective_2,,0.0,1.0,0.0,NA thanks,0.744,0.256,0.0,0.356,0.644,0.0,thanks
1130,1130,tastes,"Приятное заведение, с очень вкусной едой, на любой вкус. Красивая подача блюд и большие порции. За неделю в Ереване побывали здесь два раза. Обслуживающий персонал очень вежливый и доброжелательный. Особенно хочется отметить официанта Даниэля - прекрасное обслуживание, именно благодаря таким людям и хочется возвращаться снова и снова. ",50,"October 17, 2022",['Elizaveta K'],['1'],[],Lavash,"Nice place with delicious food for all tastes. Nice presentation of food and large portions. We visited Yerevan twice in a week. The service staff is very polite and friendly. I would especially like to mention the waiter Daniel - excellent service, it is thanks to such people that you want to come back again and again.","nice place with delicious food for all tastes. nice presentation of food and large portions. we visited yerevan twice in a week. the service staff is very polite and friendly. i would especially like to mention the waiter daniel - excellent service, it is thanks to such people that you want to come back again and again.",nice place with delicious food for all tastes.,adjective_1,,0.0,1.0,0.0,NA tastes,0.0,1.0,0.0,0.52,0.48,0.0,tastes
